reviewID,content
Allerton_ae60031e-3ecd-44cb-b846-bb4a1e2f3c72,"It's a nice and safe community. It has a lot of small markets and food chains in the neighborhood. It has the 2 train which is good for commuting. It also has a very low crime rate if any at all. "
Allerton_d3402991-d6dc-46cd-b58a-e8e10d4e29d8,"I do not feel uncomfortable outside, however, it is not the worst I've seen"
Allerton_19cbe7a3-9551-46f5-a713-891e546eab0e,"I just moved to this area, however, from what I've seen it is safer and more quiet than the areas that i previously lived in. There are still questionable people in the area, but overall it is a safe area."
Allerton_0947437d-b815-4c1a-a199-6f56faadd91f,"The area here is nice and quiet"
Allerton_3e49ac9f-c100-4192-bb19-fa051d53aa26,"The area is great, there are schools, parks and great places to go to."
Allerton_0700cc4a-059b-491d-9a48-fbe7d9043771,"its the best place ive lived in"
Allerton_24a5d56b-5b46-42e9-a153-b34f9137fdca,"Their is a good amount of crime where I live and the cops are unresponsive."
Allerton_be100c3b-d70b-411f-ab17-9f3f5129f35e,"If I had to do it all over again I would probably not live their because or the crime"
Allerton_33b10efb-610a-455a-92e7-d8eea3b3a631,"people who moved here tend to live here for a good majority of their life's"
Allerton_944657ca-7a0c-46e7-9395-b44b216c35c0,"The housing in this area are a great suburban place to live with the family. the houses look great and there a plethora of places to eat in the area"
Allerton_06a0257b-19b3-4953-a6a7-6f42c5a1dc7a,"The safety of this area is great. Any thing this considered a crime rarely happens and the response time of a emergency is really high"
Allerton_91a1624d-065b-4533-988c-7e40035fbe8b,"The area is not the best, but it's a very welcoming neighborhood. A lot people around who stays out in the street."
Allerton_1f416b6c-f54a-4445-b9d7-06462ca76aa0,"The area is relatively nice and quiet. A great place for someone to live and a nice quiet atmosphere. Every day needs are generally in walking distance like supermarket, laundry, various corner markets, etc"
Allerton_22824b25-5626-4e61-90c2-e08ccc34cc99,"I moved into this area as a young child and I have always felt secure in this neighborhood. It is a community and people befriend each other. Hardly any crimes in this area (either violent or theft related)"
Allerton_9b7abec8-6b63-4faf-9581-fe2b4e09c193,"the good thing is it is a multicultural area, and with proper services implemented, it could be resurrected"
Allerton_bf43292c-4f39-4bda-9c77-600cfadb0fba,"Great neighborhood if you are tired of the crazy NYC life. Tons of houses around so it is a change of scenery to the buildings you see in the city."
Allerton_43bd8cc7-a26f-466a-847e-adc26ca72677,"One of my biggest problems is the filth in the area. It getting annoying when you clean then some one messing up your front walk way."
Allerton_af361b38-60ed-4a4f-bc46-b1b8821935d5,"No abandonment has occurred in the area i live in."
