island:0.09555345316934721,staten:0.05487228003784295,borough:0.020813623462630087,perfect:0.020813623462630087,beach:0.01892147587511826,far:0.017029328287606435,ok:0.017029328287606435,found:0.017029328287606435,long:0.015137180700094607,find:0.013245033112582781,even:0.010406811731315043,plenty:0.010406811731315043,ny:0.00946073793755913,enjoy:0.008514664143803218,popular:0.008514664143803218,ferry:0.008514664143803218,used:0.008514664143803218,mainly:0.008514664143803218,community:0.007568590350047304,interesting:0.007568590350047304,relaxing:0.007568590350047304,may:0.007568590350047304,overcrowded:0.007568590350047304,location:0.007568590350047304,use:0.006622516556291391,ice:0.006622516556291391,attraction:0.006622516556291391,forgotten:0.006622516556291391,harbor:0.006622516556291391,big:0.006622516556291391
business:0.12893982808022922,local:0.06385591485878019,store:0.06303724928366762,small:0.04134261154318461,big:0.03192795742939009,company:0.025787965616045846,shop:0.025787965616045846,owned:0.024150634465820713,mom:0.024150634465820713,pop:0.02251330331559558,family:0.020875972165370446,need:0.016782644289807615,mostly:0.015963978714695046,many:0.015963978714695046,chain:0.013507981989357348,variety:0.012689316414244782,like:0.009823986901350798,little:0.009414654113794515,okay:0.009005321326238231,large:0.008595988538681949,also:0.007777322963569382,well:0.007367990176013099,around:0.007367990176013099,smaller:0.006549324600900532,owner:0.006549324600900532,item:0.006549324600900532,often:0.006139991813344249,target:0.0057306590257879654,number:0.0057306590257879654,price:0.005321326238231682
people:0.11391129032258064,gym:0.038306451612903226,health:0.027721774193548387,see:0.02469758064516129,healthy:0.02217741935483871,hospital:0.02217741935483871,active:0.02066532258064516,facility:0.020161290322580645,really:0.01965725806451613,stay:0.018649193548387098,around:0.018649193548387098,work:0.018649193548387098,exercise:0.018145161290322582,fitness:0.017137096774193547,go:0.015625,many:0.014616935483870967,running:0.013608870967741936,nearby:0.011088709677419355,get:0.011088709677419355,walking:0.010584677419354838,care:0.010080645161290322,park:0.010080645161290322,outside:0.009576612903225807,workout:0.009072580645161291,one:0.008568548387096774,fit:0.008568548387096774,physically:0.008064516129032258,home:0.008064516129032258,seem:0.007560483870967742,jogging:0.007056451612903226
people:0.06045865184155664,care:0.03474635163307853,drug:0.03266157053509382,home:0.030576789437109102,take:0.029881862404447533,homeless:0.022932592077831826,really:0.020847810979847115,well:0.018763029881862403,issue:0.014593467685892982,individual:0.01389854065323141,several:0.01250868658790827,seems:0.01250868658790827,number:0.01250868658790827,non:0.0118137595552467,taken:0.010423905489923557,use:0.010423905489923557,shelter:0.009728978457261988,part:0.009728978457261988,smoking:0.009728978457261988,drinking:0.008339124391938846,fine:0.007644197359277276,barely:0.007644197359277276,high:0.007644197359277276,abuse:0.007644197359277276,almost:0.006949270326615705,either:0.006949270326615705,gang:0.006949270326615705,harlem:0.006949270326615705,smell:0.006949270326615705,existent:0.006949270326615705
people:0.06913429183236464,different:0.046803303762618535,culture:0.03793208932395228,diverse:0.0333435301315387,many:0.02967268277760783,diversity:0.028143163046803303,love:0.02018966044661976,asian:0.019883756500458857,community:0.01957785255429795,american:0.01896604466197614,hispanic:0.01345977363107984,background:0.013153869684918936,african:0.011930253900275314,living:0.011930253900275314,resident:0.011012542061792597,race:0.01009483022330988,cultural:0.01009483022330988,live:0.009788926277148976,kind:0.009788926277148976,experience:0.009177118384827165,black:0.008259406546344448,world:0.007953502600183543,group:0.007953502600183543,population:0.007647598654022637,latino:0.007035790761700826,ethnic:0.00672988681553992,white:0.00672988681553992,part:0.0061180789232181095,majority:0.0061180789232181095,filled:0.0061180789232181095
car:0.04564072557050907,parking:0.032767700409596257,street:0.028086600351082503,road:0.02633118782913985,traffic:0.02516091281451141,many:0.015213575190169689,bike:0.015213575190169689,always:0.014043300175541252,accident:0.014043300175541252,driver:0.013458162668227034,pedestrian:0.013458162668227034,lane:0.012873025160912814,problem:0.012873025160912814,people:0.011702750146284377,drive:0.011702750146284377,terrible:0.010532475131655939,congested:0.00994733762434172,safety:0.009362200117027502,big:0.009362200117027502,make:0.008777062609713282,hit:0.008191925102399064,driving:0.008191925102399064,vehicle:0.008191925102399064,sidewalk:0.008191925102399064,like:0.0076067875950848445,break:0.0076067875950848445,mean:0.0076067875950848445,due:0.007021650087770626,light:0.007021650087770626,busy:0.007021650087770626
weather:0.06241699867197875,winter:0.055245683930942896,summer:0.039309428950863215,snow:0.028419654714475433,cold:0.028154050464807436,hot:0.022841965471447543,season:0.022310756972111555,get:0.021779548472775564,really:0.019123505976095617,natural:0.018857901726427623,disaster:0.01859229747675963,hurricane:0.018326693227091632,storm:0.015670650730411687,spring:0.014873837981407702,fall:0.012749003984063745,pretty:0.011686586985391767,problem:0.011420982735723771,sandy:0.010624169986719787,sometimes:0.010358565737051793,four:0.008764940239043825,flooding:0.00849933598937583,rain:0.008233731739707836,extreme:0.008233731739707836,severe:0.00796812749003984,never:0.00796812749003984,day:0.00796812749003984,much:0.007436918990703851,time:0.007436918990703851,usually:0.006905710491367862,extremely:0.006905710491367862
rent:0.042611415168100075,living:0.0418295543393276,housing:0.03792025019546521,live:0.033229085222830336,cost:0.0328381548084441,class:0.02501954652071931,high:0.024628616106333073,price:0.0218921032056294,apartment:0.02150117279124316,expensive:0.019546520719311962,middle:0.019546520719311962,building:0.017200938232994525,pay:0.016810007818608287,much:0.016810007818608287,low:0.01602814698983581,income:0.014855355746677092,however:0.014073494917904612,pretty:0.013682564503518374,quality:0.012900703674745896,make:0.012900703674745896,affordable:0.012118842845973418,project:0.01055512118842846,due:0.009773260359655981,money:0.009773260359655981,amount:0.008600469116497263,poor:0.008209538702111024,family:0.007427677873338546,higher:0.007427677873338546,fair:0.007036747458952306,extremely:0.007036747458952306
new:0.06519114688128773,moving:0.030985915492957747,rent:0.02374245472837022,gentrification:0.020523138832997986,people:0.0193158953722334,also:0.01851106639839034,going:0.018108651911468814,resident:0.017706237424547282,move:0.01609657947686117,due:0.015694164989939637,business:0.014084507042253521,building:0.013682092555331992,many:0.012072434607645875,become:0.012072434607645875,community:0.012072434607645875,becoming:0.011267605633802818,rise:0.011267605633802818,young:0.011267605633802818,opening:0.010865191146881288,time:0.010865191146881288,still:0.0096579476861167,family:0.00925553319919517,diverse:0.008853118712273641,construction:0.008853118712273641,although:0.008853118712273641,growing:0.008048289738430584,old:0.008048289738430584,home:0.007645875251509054,changed:0.007645875251509054,value:0.007645875251509054
see:0.06986899563318777,like:0.06051154086088584,would:0.041172800998128506,however:0.021834061135371178,change:0.021210230817217717,kid:0.018714909544603867,school:0.017467248908296942,future:0.014971927635683094,group:0.014348097317529632,better:0.01372426699937617,youth:0.012476606363069246,child:0.012476606363069246,diversity:0.011228945726762321,mostly:0.011228945726762321,growing:0.011228945726762321,parent:0.010605115408608859,young:0.010605115408608859,program:0.009981285090455396,adult:0.008733624454148471,age:0.008733624454148471,changing:0.008109794135995009,drug:0.008109794135995009,fact:0.008109794135995009,trouble:0.007485963817841547,activity:0.007485963817841547,community:0.007485963817841547,today:0.006862133499688085,think:0.006862133499688085,atmosphere:0.006862133499688085,potential:0.006238303181534623
job:0.15635098185433757,opportunity:0.043748446433010194,people:0.03803131991051454,many:0.03455132985334328,work:0.03355704697986577,employment:0.03305990554312702,find:0.03131991051454139,available:0.01590852597564007,get:0.014168530947054437,wage:0.01391996022868506,looking:0.012925677355207556,hard:0.011931394481730051,minimum:0.009942828734775044,pay:0.009694258016405667,retail:0.008948545861297539,high:0.008948545861297539,working:0.008699975142928163,around:0.008451404424558787,paying:0.00820283370618941,know:0.007705692269450659,experience:0.007457121551081283,part:0.007208550832711907,college:0.007208550832711907,limited:0.00695998011434253,business:0.00695998011434253,finding:0.006711409395973154,one:0.006711409395973154,low:0.006462838677603778,time:0.006462838677603778,enough:0.006214267959234402
