"","Topic 1","Topic 1 Prob","Topic 2","Topic 2 Prob","Topic 3","Topic 3 Prob"
"1","neighborhood",0.0642187034211864,"place",0.0360389668424345,"crime",0.0313954573449544
"2","people",0.063973205674505,"store",0.0330360175172044,"time",0.0233328978555831
"3","community",0.0262717660055763,"food",0.0272088658503888,"police",0.0216158712976615
"4","park",0.0246584950988128,"restaurant",0.027101617660202,"safe",0.0200108247326478
"5","city",0.0194679713118347,"job",0.0224184466887121,"street",0.0154942983520278
"6","family",0.0173987760183773,"business",0.0173062829564751,"walk",0.0145984584087643
"7","school",0.016521998351658,"local",0.0150898203592814,"pretty",0.0127321251936321
"8","friendly",0.0140319497781753,"work",0.0139458396639557,"take",0.0118362852503686
"9","house",0.0135760253914812,"find",0.0134453481097507,"night",0.011686978593158
"10","love",0.0131201010047872,"close",0.0129448565555456,"year",0.00996995203523638
"11","home",0.0116471145246988,"public",0.0125158637947985,"day",0.00911143875627554
"12","move",0.0112964034580111,"different",0.0108713915452677,"weather",0.00829025214161737
"13","life",0.00968313255124765,"transportation",0.0105853963714362,"even",0.00829025214161737
"14","quiet",0.00961299033791011,"shop",0.0102994011976048,"happen",0.00776767884138034
"15","building",0.00922720816455364,"train",0.00933416748592368,"safety",0.00735708553405125
"16","apartment",0.00821014607115927,"bus",0.00883367593171865,"overall",0.00735708553405125
"17","diverse",0.00814000385782174,"look",0.00840468317097149,"summer",0.00731975886974861
"18","part",0.00803479053781542,"small",0.00836893377424256,"winter",0.00731975886974861
"19","neighbor",0.00803479053781542,"variety",0.00819018679059791,"block",0.00683451223381422
"20","high",0.00792957721780911,"near",0.00754669764947717,"think",0.00679718556951158
