"","Topic 1","Topic 1 Prob","Topic 2","Topic 2 Prob","Topic 3","Topic 3 Prob","Topic 4","Topic 4 Prob","Topic 5","Topic 5 Prob","Topic 6","Topic 6 Prob","Topic 7","Topic 7 Prob"
"1","house",0.0333738525380392,"neighborhood",0.146498972064337,"place",0.0836082602734034,"store",0.0727980191015211,"park",0.0560170394036209,"crime",0.069210124282588,"people",0.153453567074452
"2","pretty",0.028260049461374,"year",0.0375781029548111,"city",0.0447168321768397,"food",0.0595920292418347,"walk",0.0401609277008638,"time",0.0507122507122507,"community",0.0625635851515534
"3","building",0.022056419499518,"love",0.0301608416979078,"find",0.0312544147587984,"restaurant",0.0595920292418347,"school",0.0364532796907664,"safe",0.049143234650481,"work",0.0317063942489595
"4","apartment",0.0195414343798466,"move",0.0264522110694562,"look",0.0195371255245772,"job",0.0492945014345793,"public",0.0275391472409577,"police",0.0476567983814361,"friendly",0.0305292806995418
"5","high",0.0193737687052018,"different",0.0262909662595235,"little",0.0183737067353638,"business",0.0377392603073537,"close",0.0275391472409577,"night",0.0251950947603122,"family",0.0237188380207676
"6","weather",0.0184516074946557,"home",0.0216148667714758,"think",0.0151327543939835,"local",0.0307432299650198,"transportation",0.0233581824636138,"happen",0.0171848548660143,"neighbor",0.0191785429015849
"7","housing",0.0177809447960766,"diverse",0.0187124601926875,"life",0.0131383221839033,"shop",0.0224894863027159,"train",0.0205971679880093,"day",0.0153680994260704,"keep",0.0175810316559465
"8","summer",0.0164396193989186,"family",0.0171806344983271,"part",0.0126397141313832,"variety",0.0180088826003223,"bus",0.0194927621977675,"safety",0.0151203600478963,"even",0.0150586454786228
"9","winter",0.0164396193989186,"change",0.0149232071592696,"far",0.0125566127892965,"small",0.0176944542703298,"street",0.0177572673845304,"street",0.0148726206697221,"child",0.0149745659393787
"10","rent",0.01543362535105,"grow",0.0138751158947071,"living",0.0120580047367765,"fast",0.0139999213929175,"near",0.015390683548298,"hear",0.0144597217060985,"clean",0.0148904864001345
"11","long",0.0119126461835101,"culture",0.0133913814649091,"hard",0.0109776872896497,"opportunity",0.0139213143104194,"take",0.0147595945253027,"car",0.0129732854370536,"kid",0.0127884979190314
"12","quality",0.0117449805088653,"diversity",0.0129076470351111,"right",0.010645281921303,"bar",0.0137641001454231,"quiet",0.0139707332465586,"rate",0.0115694289607333,"overall",0.0121158616050784
"13","pay",0.0113258163222534,"resident",0.0115370661506833,"choose",0.0104790792371297,"option",0.0127422080729474,"nearby",0.0138129609908098,"drug",0.0103307320698625,"help",0.0120317820658343
"14","expensive",0.0109904849729639,"life",0.0101664852662555,"beautiful",0.00981426850043628,"grocery",0.0124277797429548,"subway",0.0127874413284424,"outside",0.00917461497171642,"event",0.011190986673393
"15","cost",0.00973299241312822,"young",0.00895714919176039,"give",0.00890015373748286,"open",0.0110128522579884,"block",0.0126296690726936,"issue",0.00917461497171642,"quite",0.0106865094379283
"16","low",0.00906232971454918,"experience",0.00871528197686137,"college",0.00856774836913616,"service",0.0105412097629996,"easy",0.0125507829448191,"take",0.0086791362153681,"care",0.0100979526632194
"17","average",0.00897849687722681,"height",0.00863465957189503,"town",0.00831844434287614,"eat",0.0103053885155052,"run",0.0116041494103262,"especially",0.00834881704446922,"tend",0.0094253163492664
"18","affordable",0.00872699836525967,"amazing",0.00790905792719797,"atmosphere",0.00815224165870279,"supermarket",0.0102267814330071,"distance",0.0112097187709541,"activity",0.0082662372517445,"stay",0.00934123681002228
"19","extremely",0.00872699836525967,"middle",0.00750594590236627,"bit",0.00773673494826941,"employment",0.0102267814330071,"convenient",0.0112097187709541,"late",0.0078533382881209,"sense",0.00858452095682516
"20","snow",0.00864316552793729,"asian",0.00645785463780384,"improve",0.00748743092200939,"large",0.00802578312305939,"access",0.01042085749221,"past",0.00777075849539617,"enough",0.00782780510362803
