"","Topic 1","Topic 1 Prob","Topic 2","Topic 2 Prob","Topic 3","Topic 3 Prob","Topic 4","Topic 4 Prob","Topic 5","Topic 5 Prob","Topic 6","Topic 6 Prob","Topic 7","Topic 7 Prob","Topic 8","Topic 8 Prob"
"1","street",0.0374311380217381,"crime",0.0767042086544161,"store",0.0810105521257498,"people",0.174428700920758,"house",0.0368111440538378,"park",0.0644169274731256,"place",0.0919558142732731,"neighborhood",0.159017672710581
"2","pretty",0.0336592386718944,"safe",0.0536318453330901,"food",0.0666491527650072,"job",0.0598349315395258,"move",0.0309755753211916,"walk",0.038109493355105,"city",0.0486868038685429,"community",0.0668441588248795
"3","day",0.0233361457144275,"police",0.0528110893256122,"restaurant",0.066123735715224,"work",0.0370306760173656,"building",0.0242929079015483,"close",0.0322129995010659,"love",0.0320942384379154,"family",0.0454532935506082
"4","weather",0.0220457590947442,"time",0.0334777255939082,"business",0.042042120933491,"find",0.035885692476504,"high",0.0236340533672173,"public",0.0314872771805688,"different",0.0307191639547142,"school",0.0429745237548772
"5","summer",0.0194649858553774,"night",0.0275500433176782,"local",0.0368755199439555,"look",0.0223367205763084,"block",0.0232575650618853,"transportation",0.0266793668072754,"diverse",0.0201769262501719,"friendly",0.0354464080789534
"6","time",0.019365725346171,"happen",0.0189777027951302,"shop",0.0252287753404265,"even",0.0190926005438672,"apartment",0.0218457339168902,"take",0.0262257903569647,"part",0.0174267772837695,"home",0.0270002295157218
"7","winter",0.0190679438185518,"safety",0.0179745565637682,"small",0.0204124523840799,"little",0.01871093936358,"housing",0.0201515365428961,"train",0.0235950469451626,"life",0.016418389329422,"neighbor",0.0203901767271058
"8","overall",0.0186709017817261,"hear",0.0159682641010442,"variety",0.019624326809405,"opportunity",0.0183292781832928,"keep",0.0195868040848981,"bus",0.0221436023041684,"culture",0.0151349864784343,"change",0.0180950195088364
"9","year",0.0157923470147402,"rate",0.0128676302950162,"fast",0.0161215464775165,"available",0.0149897428557798,"rent",0.017327874252906,"near",0.0187871365718692,"diversity",0.0147682999495806,"child",0.0163507000229516
"10","experience",0.0147004814134697,"outside",0.0125028498472482,"open",0.0161215464775165,"employment",0.0127951910691284,"clean",0.0156336768789119,"nearby",0.0157935319998186,"enjoy",0.0129348673053124,"grow",0.0160752811567592
"11","quite",0.0139063973398184,"car",0.0123204596233642,"bar",0.0159464074609221,"hard",0.0126997757740566,"quality",0.0148807002682479,"quiet",0.0151585249693836,"beautiful",0.0110097630288307,"kid",0.0139637365159513
"12","especially",0.0129137922477542,"station",0.0118644840636542,"option",0.01507071237795,"pay",0.0126997757740566,"living",0.0131865028942539,"easy",0.0146142332290107,"right",0.0106430764999771,"event",0.0124030296075281
"13","problem",0.0115241451188645,"drug",0.0110437280561762,"big",0.0140198782783835,"try",0.0113639616430514,"price",0.0129982587415878,"subway",0.0140699414886379,"year",0.0100930467066966,"young",0.0102914849667202
"14","snow",0.0101344979899747,"issue",0.00903743559345219,"grocery",0.0135820307368974,"tend",0.0106960545775488,"expensive",0.0129982587415878,"far",0.0136163650383272,"town",0.00963468854562956,"resident",0.0101996786779894
"15","cold",0.00953893493473621,"late",0.00867265514568419,"eat",0.0120933490958448,"service",0.0102189781021898,"cost",0.0108334509859287,"run",0.0127999274277679,"height",0.00945134528120273,"quiet",0.00983245352306633
"16","bit",0.00924115340711698,"activity",0.00858146003374219,"supermarket",0.0113927930294671,"care",0.00983731692190258,"year",0.0106452068332627,"convenient",0.0127999274277679,"atmosphere",0.00917633038456249,"life",0.00882258434702777
"17","past",0.00904263238870415,"occur",0.00812548447403219,"chinese",0.00894084679714524,"give",0.00964648633175898,"college",0.0104569626805967,"access",0.0119834898172087,"think",0.00816794243021497,"sense",0.00863897176956621
"18","long",0.00894337187949774,"haven",0.00794309425014819,"large",0.0086781382722536,"provide",0.00869233338104098,"affordable",0.0103628406042637,"distance",0.0112577674967116,"amazing",0.00816794243021497,"middle",0.0082717466146431
"19","doesn",0.00854632984267209,"wouldn",0.00785189913820619,"corner",0.00736459564779544,"market",0.00821525690568198,"enough",0.00998635229893171,"minute",0.0104413298861523,"side",0.00816794243021497,"raise",0.00808813403718154
"20","hot",0.00824854831505286,"hour",0.00693994801878619,"deli",0.00683917859801217,"retail",0.00821525690568198,"generally",0.00979810814626571,"gym",0.0103506145960902,"east",0.00770958426914791,"year",0.00772090888225844
